How did Lincoln handle Fort Sumter?	He didn't send troops, he made the South decide whether to attack or not.
Mohandas Gandhi	A philosopher from India, this man was a spiritual and moral leader favoring India's independence from Great Britain. He practiced passive resistance, civil disobedience and boycotts to generate social and political change.
A philosopher from India, this man was a spiritual and moral leader favoring India's independence from Great Britain. He practiced passive resistance, civil disobedience and boycotts to generate social and political change.	Mohandas Gandhi
Sun Yatsen	Chinese physician and political leader who aimed to transform China with patriotic, democratic, and economically progressive reforms.
Chinese physician and political leader who aimed to transform China with patriotic, democratic, and economically progressive reforms.	Sun Yatsen
Chiang Kaishek	Took control of the Guomindang. Led troops on the Northern Expedition to end warlord era and unify China.
Took control of the Guomindang. Led troops on the Northern Expedition to end warlord era and unify China.	Chiang Kaishek
Mao Zedong	This man became the leader of the Chinese Communist Party and remained its leader until his death. He declared the founding of the People's Republic of China in 1949 and supported the Chinese peasantry throughout his life.
This man became the leader of the Chinese Communist Party and remained its leader until his death. He declared the founding of the People's Republic of China in 1949 and supported the Chinese peasantry throughout his life.	Mao Zedong
World War II	War fought from 1939 to 1945 between the Allies and the Axis, involving most countries in the world. The United States joined the Allies in 1941, helping them to victory.
War fought from 1939 to 1945 between the Allies and the Axis, involving most countries in the world. The United States joined the Allies in 1941, helping them to victory.	World War II
Rape of Nanjing	Japanese attack on Chinese capital from 1937-1938 when Japanese aggressorts slaughtered 100,000 civilians and raped thousands of women in order to gain control of China.
Japanese attack on Chinese capital from 1937-1938 when Japanese aggressorts slaughtered 100,000 civilians and raped thousands of women in order to gain control of China.	Rape of Nanjing
Francisco Franco	Spanish general whose armies took control of Spain in 1939 and who ruled as a dictator until his death (1892-1975).
Spanish general whose armies took control of Spain in 1939 and who ruled as a dictator until his death (1892-1975).	Francisco Franco
Treaty of Versailles	The treaty imposed on Germany by the Allied powers in 1920 after the end of World War I which demanded exorbitant reparations from the Germans.
The treaty imposed on Germany by the Allied powers in 1920 after the end of World War I which demanded exorbitant reparations from the Germans.	Treaty of Versailles
Operation Barbarossa	Codename for Nazi Germany's invasion of the Soviet Union during World War II.
Codename for Nazi Germany's invasion of the Soviet Union during World War II.	Operation Barbarossa
Pearl Harbor	Base in hawaii that was bombed by japan on December 7, 1941, which eagered America to enter the war.
Base in hawaii that was bombed by japan on December 7, 1941, which eagered America to enter the war.	Pearl Harbor
Holocaust	The Nazi program of exterminating Jews under Hitler.
The Nazi program of exterminating Jews under Hitler.	Holocaust
Cold War	A conflict that was between the US and the Soviet Union. The nations never directly confronted eachother on the battlefield but deadly threats went on for years.
A conflict that was between the US and the Soviet Union. The nations never directly confronted eachother on the battlefield but deadly threats went on for years.	Cold War
Truman Doctrine	President Truman's policy of providing economic and military aid to any country threatened by communism or totalitarian ideology.
President Truman's policy of providing economic and military aid to any country threatened by communism or totalitarian ideology.	Truman Doctrine
Marshall Plan	A United States program of economic aid for the reconstruction of Europe (1948-1952).
A United States program of economic aid for the reconstruction of Europe (1948-1952).	Marshall Plan
NATO	An international organization created in 1949 by the North Atlantic Treaty for purposes of collective security.
An international organization created in 1949 by the North Atlantic Treaty for purposes of collective security.	NATO
Warsaw Pact	Treaty signed in 1945 that formed an alliance of the Eastern European countries behind the Iron Curtain; USSR, Albania, Bulgaria, Czechoslovakia, East Germany, Hungary, Poland, and Romania.
Treaty signed in 1945 that formed an alliance of the Eastern European countries behind the Iron Curtain; USSR, Albania, Bulgaria, Czechoslovakia, East Germany, Hungary, Poland, and Romania.	Warsaw Pact
United Nations	An organization of independent states formed in 1945 to promote international peace and security; it replaced the League of Nations.
An organization of independent states formed in 1945 to promote international peace and security; it replaced the League of Nations.	United Nations
Berlin Wall	A wall separating East and West Berlin built by East Germany in 1961 to keep citizens from escaping to the West.
A wall separating East and West Berlin built by East Germany in 1961 to keep citizens from escaping to the West.	Berlin Wall
Korean War	The conflict between Communist North Korea and Non-Communist South Korea. The United Nations (led by the United States) helped South Korea.
The conflict between Communist North Korea and Non-Communist South Korea. The United Nations (led by the United States) helped South Korea.	Korean War
Cuban Missile Crisis	The 1962 confrontation bewteen US and the Soviet Union over Soviet missiles in Cuba.
The 1962 confrontation bewteen US and the Soviet Union over Soviet missiles in Cuba.	Cuban Missile Crisis
Fidel Castro	Cuban socialist leader who overthrew a dictator in 1959 and established a Marxist socialist state in Cuba (born in 1927).
Cuban socialist leader who overthrew a dictator in 1959 and established a Marxist socialist state in Cuba (born in 1927).	Fidel Castro
Space Race	A competition of space exploration between the United States and Soviet Union.
A competition of space exploration between the United States and Soviet Union.	Space Race
Sputnik	The world's first space satellite. This meant the Soviet Union had a missile powerful enough to reach the US.
The world's first space satellite. This meant the Soviet Union had a missile powerful enough to reach the US.	Sputnik
Prague Spring	The term for the attempted liberation of Czechoslovakia in 1968.
The term for the attempted liberation of Czechoslovakia in 1968.	Prague Spring
Vietnam War	A prolonged war (1954-1975) between the communist armies of North Vietnam who were supported by the Chinese and the non-communist armies of South Vietnam who were supported by the United States.
A prolonged war (1954-1975) between the communist armies of North Vietnam who were supported by the Chinese and the non-communist armies of South Vietnam who were supported by the United States.	Vietnam War
Dominoe Theory	The US theory that stated, if one country would fall to Communism then they all would.
The US theory that stated, if one country would fall to Communism then they all would.	Dominoe Theory
Mikhail Gorbachev	Soviet statesman whose foreign policy brought an end to the Cold War and whose domestic policy introduced major reforms (born in 1931).
Soviet statesman whose foreign policy brought an end to the Cold War and whose domestic policy introduced major reforms (born in 1931).	Mikhail Gorbachev
1991	The year of the collapse of the Soviet Union.
The year of the collapse of the Soviet Union.	1991
Geneva Conference	A conference between many countries that agreed to end hostilities and restore peace in French Indochina and Vietnam.
A conference between many countries that agreed to end hostilities and restore peace in French Indochina and Vietnam.	Geneva Conference
Great Leap Forward	Started by Mao Zedong, combined collective farms into People's Communes, failed because there was no incentive to work harder, ended after 2 years.
Started by Mao Zedong, combined collective farms into People's Communes, failed because there was no incentive to work harder, ended after 2 years.	Great Leap Forward
Cultural Revolution	Campaign in China ordered by Mao Zedong to purge the Communist Party of his opponents and instill revolutionary values in the younger generation.
Campaign in China ordered by Mao Zedong to purge the Communist Party of his opponents and instill revolutionary values in the younger generation.	Cultural Revolution
Deng Xiaoping	Communist Party leader who forced Chinese economic reforms after the death of Mao Zedong.
Communist Party leader who forced Chinese economic reforms after the death of Mao Zedong.	Deng Xiaoping
Islamism	A fundamentalist Islamic revivalist movement generally characterized by moral conservatism and the literal interpretation of the Quran and the attempt to implement Islamic values in all aspects of life.
A fundamentalist Islamic revivalist movement generally characterized by moral conservatism and the literal interpretation of the Quran and the attempt to implement Islamic values in all aspects of life.	Islamism
Ayatollah Khomeini	Shiite religious leader of Iran, led the 1979 Islamic Revolution in Iran and ordered the invasion of the US Embassy.
Shiite religious leader of Iran, led the 1979 Islamic Revolution in Iran and ordered the invasion of the US Embassy.	Ayatollah Khomeini
Apartheid	A social policy or racial segregation involving political and economic and legal discrimination against non-whites.
A social policy or racial segregation involving political and economic and legal discrimination against non-whites.	Apartheid
Gulf War	A dispute over control of the waterway between Iraq and Iran broke out into open fighting in 1980 and continued until 1988, when they accepted a UN cease-fire resolution.
A dispute over control of the waterway between Iraq and Iran broke out into open fighting in 1980 and continued until 1988, when they accepted a UN cease-fire resolution.	Gulf War
World Trade Organization	Administers the rules governing trade between its 144 members. Helps producers, importers, and exporters conduct their business and ensure that trade flows smoothly.
Administers the rules governing trade between its 144 members. Helps producers, importers, and exporters conduct their business and ensure that trade flows smoothly.	World Trade Organization
Four Asian Tigers	South Korea (largest), Taiwan (moving towards high tech), Singapore (Center for information and technology), Hong Kong(Break of Bulk Point): Because of their booming economies.
South Korea (largest), Taiwan (moving towards high tech), Singapore (Center for information and technology), Hong Kong(Break of Bulk Point): Because of their booming economies.	Four Asian Tigers
European Union	An international organization of European countries formed after World War II to reduce trade barriers and increase cooperation among its members.
An international organization of European countries formed after World War II to reduce trade barriers and increase cooperation among its members.	European Union
OPEC	An organization of countries formed in 1961 to agree on a common policy for the production and sale of petroleum.
An organization of countries formed in 1961 to agree on a common policy for the production and sale of petroleum.	OPEC
NAFTA	North American Free Trade Agreement; allows open trade with US, Mexico, and Canada.
North American Free Trade Agreement; allows open trade with US, Mexico, and Canada.	NAFTA
AIDS	A serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles.
A serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles.	AIDS
Saddam Hussein	Was a dictator in Iraq who tried to take over Iran and Kuwait violently in order to gain the land and the resources. He also refused to let the UN into Iraq in order to check if the country was secretly holding weapons of mass destruction.
Was a dictator in Iraq who tried to take over Iran and Kuwait violently in order to gain the land and the resources. He also refused to let the UN into Iraq in order to check if the country was secretly holding weapons of mass destruction.	Saddam Hussein
Feminism	A female movement for gender equality.
A female movement for gender equality.	Feminism
Industrialization	This gradually changed the way that things were produced, starting in the mid 18th century, but escalating greatly by the mid 19th century.
This gradually changed the way that things were produced, starting in the mid 18th century, but escalating greatly by the mid 19th century.	Industrialization
Textiles	The first industry to be industrialized in the 18th century.
The first industry to be industrialized in the 18th century.	Textiles
Britain	In the mid 1700s this place was the first to develop industrialized methods.
In the mid 1700s this place was the first to develop industrialized methods.	Britain
Atlantic Ocean	This body of water contributed to Britain, the United States, France, and eventually Germany becoming industrialized
This body of water contributed to Britain, the United States, France, and eventually Germany becoming industrialized	Atlantic Ocean
coal	Access to rivers, iron ore, timber, and _____ was a major determining factor in which countries were able to industrialize during this period.
Access to rivers, iron ore, timber, and _____ was a major determining factor in which countries were able to industrialize during this period.	coal
population	Demographically, a dramatic increase in _______ during the 1600s and 1700s in Northern Europe contributed to the rise of industry there.
Demographically, a dramatic increase in _______ during the 1600s and 1700s in Northern Europe contributed to the rise of industry there.	population
urbanization	A shift in population toward cities--corresponds to the rise of industrialization and was also a consequence of industrialization.
A shift in population toward cities--corresponds to the rise of industrialization and was also a consequence of industrialization.	urbanization
enclosure	A movement in England during the 1600s and 1700s in which the government took public lands and sold them off to private landowners--contributing to a population shift toward the cities and a rise in agricultural productivity.
A movement in England during the 1600s and 1700s in which the government took public lands and sold them off to private landowners--contributing to a population shift toward the cities and a rise in agricultural productivity.	enclosure
Four-field rotation	Crop rotation methods are ancient but this Dutch method from the 1500s was popularized in Britain in the 1700s and led to a large increase in agricultural productivity. It typically involved rotating wheat, turnips, barley and clover, and allowed livestock to be bred year-round.
Crop rotation methods are ancient but this Dutch method from the 1500s was popularized in Britain in the 1700s and led to a large increase in agricultural productivity. It typically involved rotating wheat, turnips, barley and clover, and allowed livestock to be bred year-round.	Four-field rotation
private property	Many liberals of the Enlightenment era believed, such as that citizens have _____ _____ rights and that people should generally be free to do what they want with their own possessions. Laws began to increasingly protect ____ ____. This contributed to the rise of Capitalism.
Many liberals of the Enlightenment era believed, such as that citizens have _____ _____ rights and that people should generally be free to do what they want with their own possessions. Laws began to increasingly protect ____ ____. This contributed to the rise of Capitalism.	private property
canals	Governments in northern Europe, especially in Britain, built these man-made waterways in the 1700s and 1800s to benefit commerce. It contributed to the rise of industrialization.
Governments in northern Europe, especially in Britain, built these man-made waterways in the 1700s and 1800s to benefit commerce. It contributed to the rise of industrialization.	canals
imperialism	Industrialization was not only associated with increased trade for foreign resources, but by the mid 1800s it also caused and increase in ______. Industrialized countries would exploit weaker countries for their resources.
Industrialization was not only associated with increased trade for foreign resources, but by the mid 1800s it also caused and increase in ______. Industrialized countries would exploit weaker countries for their resources.	imperialism
fossil fuels	This new source of energy powered steam engines and internal combustion engines and greatly increased the energy available to industrial societies.
This new source of energy powered steam engines and internal combustion engines and greatly increased the energy available to industrial societies.	fossil fuels
factory system	This new system gradually replaced localized cottage industry. Workers were paid by the hour instead of for what they produce. On one hand it decreased the need for skilled labor, but in other ways it increased the amount of specialization due to labor being concentrated in factories.
This new system gradually replaced localized cottage industry. Workers were paid by the hour instead of for what they produce. On one hand it decreased the need for skilled labor, but in other ways it increased the amount of specialization due to labor being concentrated in factories.	factory system
Japan	During the 19th century, industrialization spread significantly to new places in Europe, the United States, to Russia, and also to this East Asian country.
During the 19th century, industrialization spread significantly to new places in Europe, the United States, to Russia, and also to this East Asian country.	Japan
Second Industrial Revolution	Steel, chemicals, electricity. This is the name for the new wave of more heavy industrialization starting around the 1860s.
Steel, chemicals, electricity. This is the name for the new wave of more heavy industrialization starting around the 1860s.	Second Industrial Revolution
monoculture	Cotton, rubber, palm oil, sugar, whale blubber, minerals etc. Industrialization led to an increased demand for foreign raw resources. This is a term for countries relying solely on the exportation of mainly one raw resource.
Cotton, rubber, palm oil, sugar, whale blubber, minerals etc. Industrialization led to an increased demand for foreign raw resources. This is a term for countries relying solely on the exportation of mainly one raw resource.	monoculture
India	Rapid industrialization hurt the economies of places that were still agriculturally based. For example, textiles in _____ , a British colony.
Rapid industrialization hurt the economies of places that were still agriculturally based. For example, textiles in _____ , a British colony.	India
Opium Wars	Industrial countries sought new places to sell their goods. This is seen around the world. This military conflict in Between China and Britain illustrates this.
Industrial countries sought new places to sell their goods. This is seen around the world. This military conflict in Between China and Britain illustrates this.	Opium Wars
South Africa	Rare metals are needed for industry such as seen with the increased mining activity in the British colony of ______ ______.
Rare metals are needed for industry such as seen with the increased mining activity in the British colony of ______ ______.	South Africa
John Stuart Mill	Arguably the most famous English philosopher and politician of the 1800s. Champion of liberty over unlimited state control. Also famous for adding falsification as a key component of the scientific method.
Arguably the most famous English philosopher and politician of the 1800s. Champion of liberty over unlimited state control. Also famous for adding falsification as a key component of the scientific method.	John Stuart Mill
Adam Smith	Seen as the Father of Capitalism. Published The Wealth of Nations in 1776.
Seen as the Father of Capitalism. Published The Wealth of Nations in 1776.	Adam Smith
stock markets	New financial instruments--especially ways for businesses to raise money--were developed in this period. This includes insurance, corporations, and ____ ____, exchanges where corporate shares could be sold.
New financial instruments--especially ways for businesses to raise money--were developed in this period. This includes insurance, corporations, and ____ ____, exchanges where corporate shares could be sold.	stock markets
transnational	Some businesses in this period became _________ in that their ownership and organization were not confined to a particular country, such as with the United Fruit Company.
Some businesses in this period became _________ in that their ownership and organization were not confined to a particular country, such as with the United Fruit Company.	transnational
telegraph	The major 19th century communication development.
The major 19th century communication development.	telegraph
railroads	Steamships and _______ were the major transportation developments of the 19th century.
Steamships and _______ were the major transportation developments of the 19th century.	railroads
socialism	Industrialization led to groups that opposed what they saw as exploitation of workers and instead promoted an alternative vision of society where everyone would be equal. What is this belief called?
Industrialization led to groups that opposed what they saw as exploitation of workers and instead promoted an alternative vision of society where everyone would be equal. What is this belief called?	socialism
Marxism	Emerged as the most famous socialist belief system during the 19th century. Saw all of history as the story of class struggle.
Emerged as the most famous socialist belief system during the 19th century. Saw all of history as the story of class struggle.	Marxism
Anarchism	Many groups including the socialists and Marxists of the 19th century often opposed the idea of a state. They believed society would function better without a government and that governments do nothing but promote exploitation. What is this belief system called?
Many groups including the socialists and Marxists of the 19th century often opposed the idea of a state. They believed society would function better without a government and that governments do nothing but promote exploitation. What is this belief system called?	Anarchism
Qing	The Chinese government is ruled by this ethnically Manchurian dynasty during this period. They attempted to hold on to pre-industrial ways and resisted foreign involvement in their country (without success).
The Chinese government is ruled by this ethnically Manchurian dynasty during this period. They attempted to hold on to pre-industrial ways and resisted foreign involvement in their country (without success).	Qing
Ottoman Empire	"Called the ""Sick Man of Europe"" due to their slow imperial decline and inability to adapt to the new political and economic developments of the nineteenth century."
"Called the ""Sick Man of Europe"" due to their slow imperial decline and inability to adapt to the new political and economic developments of the nineteenth century."	Ottoman Empire
Meiji Restoration	In 1868, a Japanese state-sposored industrialization and westernization effort that also involved the elimination of the Shogunate and power being handed over to the Japanese Emperor, who had previously existed as mere spiritual/symbolic figure.
In 1868, a Japanese state-sposored industrialization and westernization effort that also involved the elimination of the Shogunate and power being handed over to the Japanese Emperor, who had previously existed as mere spiritual/symbolic figure.	Meiji Restoration
Muhammad Ali	Not a modern nationalist, but this leader of Egypt is seen as the father of modern Egypt and made modernizing reforms in the military, economic and cultural spheres during the 19th century.
Not a modern nationalist, but this leader of Egypt is seen as the father of modern Egypt and made modernizing reforms in the military, economic and cultural spheres during the 19th century.	Muhammad Ali
suffrage	Industrial societies such as in Britain, France, and the US produced a lot of criticism, so some governments were forced to respond with reforms such as free public education and expanded ________ for all men.
Industrial societies such as in Britain, France, and the US produced a lot of criticism, so some governments were forced to respond with reforms such as free public education and expanded ________ for all men.	suffrage
Middle Class	The _____ ______ also called the bourgeoisie, became the most powerful social class within industrialized societies. They were the wealthy but non-aristocratic class of property owners and the biggest beneficiaries of industrial prosperity. Meanwhile the Marxists saw them as exploiters of the working class.
The _____ ______ also called the bourgeoisie, became the most powerful social class within industrialized societies. They were the wealthy but non-aristocratic class of property owners and the biggest beneficiaries of industrial prosperity. Meanwhile the Marxists saw them as exploiters of the working class.	Middle Class
Working Class	19th century Industrial societies developed the idea that there were only really two social classes: property-owning middle class and then the _____ _____. Before industrialization, poorer people had more varied ideas about social ranks.
19th century Industrial societies developed the idea that there were only really two social classes: property-owning middle class and then the _____ _____. Before industrialization, poorer people had more varied ideas about social ranks.	Working Class
Divine right	Enlightenment ideas such as the social contract, natural rights, and the general will were a challenge to this traditional basis of rule by monarchs.
Enlightenment ideas such as the social contract, natural rights, and the general will were a challenge to this traditional basis of rule by monarchs.	Divine right
Jacobins	The most radical political faction of the French Revolution who ruled France during the Reign of Terror.
The most radical political faction of the French Revolution who ruled France during the Reign of Terror.	Jacobins
Congress of Vienna	Following Napoleon's exile, this meeting of European rulers in Austria established a system by which the balance of power would be maintained, liberal revolutions would be repressed, as would imperial expansion, and the creation of new countries in Europe.
Following Napoleon's exile, this meeting of European rulers in Austria established a system by which the balance of power would be maintained, liberal revolutions would be repressed, as would imperial expansion, and the creation of new countries in Europe.	Congress of Vienna
Toussaint L'Overture	The main leader of the Haitian independence movement.
The main leader of the Haitian independence movement.	Toussaint L'Overture
Simon Bolivar	South American revolutionary leader, who helped organize revolutions in many countries but was unsuccessful in fulfilling his dream of a unified South American nation.
South American revolutionary leader, who helped organize revolutions in many countries but was unsuccessful in fulfilling his dream of a unified South American nation.	Simon Bolivar
caudillos	By the 1830s, following several hopeful decades of Enlightenment-inspired revolution against European colonizers, Latin America was mostly ruled by these creole military dictators.
By the 1830s, following several hopeful decades of Enlightenment-inspired revolution against European colonizers, Latin America was mostly ruled by these creole military dictators.	caudillos
Neocolonialism	Also called economic imperialism, this is the domination of newly independent countries by foreign business interests that causes colonial-style economies to continue, which often caused monoculture (a country only producing one main export like sugar, oil, etc).
Also called economic imperialism, this is the domination of newly independent countries by foreign business interests that causes colonial-style economies to continue, which often caused monoculture (a country only producing one main export like sugar, oil, etc).	Neocolonialism
Franco-Prussian War	This was a major war between the French and the Germans in 1871 that brought about the unification of Germany. It was caused by Otto Von Bismarck altering a telegram from the Prussian King to provoke the French into attacking Prussia, thus hoping to get the independent German states to unify with Prussia (which they did, thus creating Germany).
This was a major war between the French and the Germans in 1871 that brought about the unification of Germany. It was caused by Otto Von Bismarck altering a telegram from the Prussian King to provoke the French into attacking Prussia, thus hoping to get the independent German states to unify with Prussia (which they did, thus creating Germany).	Franco-Prussian War
Crimean War	19th century war between the Ottomans and Russia. France, Britain, and Italians helped the Ottomans to defeat Russia but it ultimately proved the growing weakness of the Ottoman Empire.
19th century war between the Ottomans and Russia. France, Britain, and Italians helped the Ottomans to defeat Russia but it ultimately proved the growing weakness of the Ottoman Empire.	Crimean War
zollverein	The name of the free trade zone that German states created in the early 19th century, decades prior to their unification.
The name of the free trade zone that German states created in the early 19th century, decades prior to their unification.	zollverein
Java War	In this war (1825-1830), the people of the Island of Java rebelled against their Dutch colonizers. The Dutch won after suffering 8000 deaths and killing perhaps as many as 200,000 islanders.
In this war (1825-1830), the people of the Island of Java rebelled against their Dutch colonizers. The Dutch won after suffering 8000 deaths and killing perhaps as many as 200,000 islanders.	Java War
Suez Canal	Egyptians with funding from France and later Britain created this major transportation project completed in 1869.
Egyptians with funding from France and later Britain created this major transportation project completed in 1869.	Suez Canal
family wage	As industrialization gradually became more intense in certain areas, men displaced women in factories and were paid more, partly because men were seen as requiring a _____ _____.
As industrialization gradually became more intense in certain areas, men displaced women in factories and were paid more, partly because men were seen as requiring a _____ _____.	family wage
public education	With increased birthrates, urbanization, the outlawing of child labor, the increase of voting rights, and the influence of socialism, families were changed by the children spending much of their time in free community-sponsored ______ ______.
With increased birthrates, urbanization, the outlawing of child labor, the increase of voting rights, and the influence of socialism, families were changed by the children spending much of their time in free community-sponsored ______ ______.	public education
industrialization	From the 1500s to the 1700s, trans-oceanic empires expanded for mercantilist policies and to enrich land-owning nobles. Now during the 1800s, trans-oceanic empires were expanding due to this economic motivation.
From the 1500s to the 1700s, trans-oceanic empires expanded for mercantilist policies and to enrich land-owning nobles. Now during the 1800s, trans-oceanic empires were expanding due to this economic motivation.	industrialization
1857	In what year did the Indians attempt a widespread but disorganized rebellion against the British, resulting in even more intense colonization of India more directly by the British Government?
In what year did the Indians attempt a widespread but disorganized rebellion against the British, resulting in even more intense colonization of India more directly by the British Government?	1857
British East India Company	The Indian Rebellion of 1857 caused the British Government to take direct control over the Indian colony, which had previously been controlled by this organization.
The Indian Rebellion of 1857 caused the British Government to take direct control over the Indian colony, which had previously been controlled by this organization.	British East India Company
British Raj	The name for the British government's military rule of India between 1858 and 1947.
The name for the British government's military rule of India between 1858 and 1947.	British Raj
Indonesia	The Dutch had a presence in in this place, which they called the East Indies from 1595. But during the 19th century their control of this set of islands expanded and became their biggest colony.
The Dutch had a presence in in this place, which they called the East Indies from 1595. But during the 19th century their control of this set of islands expanded and became their biggest colony.	Indonesia
Spain and Portugal	While many new empires were on the rise during the nineteenth century, these the European kingdoms of _________ and _______ lost most of their colonies during this period.
While many new empires were on the rise during the nineteenth century, these the European kingdoms of _________ and _______ lost most of their colonies during this period.	Spain and Portugal
France	This European nation lost colonies in the Americas but expanded its presence in Indochina and Africa in the 19th century.
This European nation lost colonies in the Americas but expanded its presence in Indochina and Africa in the 19th century.	France
Russia	This kingdom expanded its territory thousands of miles Eastward during the 19th century and also sought to take advantage of a weakened Ottoman Empire.
This kingdom expanded its territory thousands of miles Eastward during the 19th century and also sought to take advantage of a weakened Ottoman Empire.	Russia
1880s	Before this decade, Europeans were mostly on the coasts of Africa as traders, explorers, and missionaries. After this decade Europeans began to conquer African territory and destroy African kingdoms.
Before this decade, Europeans were mostly on the coasts of Africa as traders, explorers, and missionaries. After this decade Europeans began to conquer African territory and destroy African kingdoms.	1880s
Belgium	King Leopold II of this country acquired the massive territory of the Congo as his own private possession, which became one of the most brutal episodes of African colonial history and has left violent legacy in places like Congo and Rwanda today.
King Leopold II of this country acquired the massive territory of the Congo as his own private possession, which became one of the most brutal episodes of African colonial history and has left violent legacy in places like Congo and Rwanda today.	Belgium
Berlin Conference	In 1884, European powers met in Germany for this gathering. They created a plan for dividing up the remaining territory in Africa.
In 1884, European powers met in Germany for this gathering. They created a plan for dividing up the remaining territory in Africa.	Berlin Conference
settlers	Some colonies in the 19th century imperialism involved large numbers of ______ such as in South Africa, Australia, New Zealand, and Algeria.
Some colonies in the 19th century imperialism involved large numbers of ______ such as in South Africa, Australia, New Zealand, and Algeria.	settlers
economic	Although the the US did not attempt to settle or colonize South America like other imperialistic nations had done, they did exert ________ influence that in an imperialistic way.
Although the the US did not attempt to settle or colonize South America like other imperialistic nations had done, they did exert ________ influence that in an imperialistic way.	economic
United States	Japan's Meiji restoration was influenced by the imperialist actions of this country, who arrived and essentially forced them to negotiate a trade agreement.
Japan's Meiji restoration was influenced by the imperialist actions of this country, who arrived and essentially forced them to negotiate a trade agreement.	United States
United States and Russia	Both the ______ _____ and _____ emulated European imperialism by expanding their borders and conquering new territories.
Both the ______ _____ and _____ emulated European imperialism by expanding their borders and conquering new territories.	United States and Russia
Balkans	Various peoples in this area of Eastern Europe rebelled against Ottoman rule, contributing to their imperial decline.
Various peoples in this area of Eastern Europe rebelled against Ottoman rule, contributing to their imperial decline.	Balkans
Egypt	In the early 19th century, the Ottoman Empire lost this North African country which had been part of it's empire.
In the early 19th century, the Ottoman Empire lost this North African country which had been part of it's empire.	Egypt
Britain	After Egypt became independent from the Ottomans, it still had to contend with the influence of European imperialists, particularly this nation.
After Egypt became independent from the Ottomans, it still had to contend with the influence of European imperialists, particularly this nation.	Britain
Zulu	New states emerged on the edge of expanding empires. As the British expanded their South African colony, the ____ Kingdom came into being, led by a man named Shaka.
New states emerged on the edge of expanding empires. As the British expanded their South African colony, the ____ Kingdom came into being, led by a man named Shaka.	Zulu
Siam	The Kingdom of _____, known today as Thailand, remained relatively independent during through the nineteenth century because they served as a buffer between the colonies of Britain and France in Indochina.
The Kingdom of _____, known today as Thailand, remained relatively independent during through the nineteenth century because they served as a buffer between the colonies of Britain and France in Indochina.	Siam
Cherokee	In response to the rapid expansion by the United States, this native tribal group formed a national government, sought to modernize their society, but were forcibly relocated in the 1830s.
In response to the rapid expansion by the United States, this native tribal group formed a national government, sought to modernize their society, but were forcibly relocated in the 1830s.	Cherokee
Germany	The spread of nationalism led to the unification of this central European nation, following the Franco-Prussian War in 1871.
The spread of nationalism led to the unification of this central European nation, following the Franco-Prussian War in 1871.	Germany
Italy	The spread of nationalism led to the creation of this European nation thanks to figures like Count Cavour and Giuseppe Garibaldi.
The spread of nationalism led to the creation of this European nation thanks to figures like Count Cavour and Giuseppe Garibaldi.	Italy
Philippines	After decades of nationalist resistance against the Spanish (and violent repression of activists) this Pacific Island nation proudly declared independence in 1898. But the Spanish had handed control over to the USA, who had no plans to recognize their independence.
After decades of nationalist resistance against the Spanish (and violent repression of activists) this Pacific Island nation proudly declared independence in 1898. But the Spanish had handed control over to the USA, who had no plans to recognize their independence.	Philippines
Liberia	In 1820, the American Colonization Society created a colony in West Africa for freed slaves to go. By the 1840s this colony had its own constitution and became and independent nation.
In 1820, the American Colonization Society created a colony in West Africa for freed slaves to go. By the 1840s this colony had its own constitution and became and independent nation.	Liberia
Social Darwinism	Although rejected by biologists, this theory from the 1870s is often associated with Herbert Spencer and is said to have justified the competition of laissez-faire capitalism, the new racial superiority ideas, and imperialist policies.
Although rejected by biologists, this theory from the 1870s is often associated with Herbert Spencer and is said to have justified the competition of laissez-faire capitalism, the new racial superiority ideas, and imperialist policies.	Social Darwinism
Nomadic	Prior to agriculture, this type of group traveled looking for food and shelter.
Prior to agriculture, this type of group traveled looking for food and shelter.	Nomadic
Agriculture	The switch to ______ created a more reliable and stable food supply.
The switch to ______ created a more reliable and stable food supply.	Agriculture
Neolithic Revolution	The switch from nomadic lifestyles to a settled agricultural lifestyle is this revolution.
The switch from nomadic lifestyles to a settled agricultural lifestyle is this revolution.	Neolithic Revolution
Irrigation	With the invention of this tecnique, lands were able to be farmed that previously could not have been
With the invention of this tecnique, lands were able to be farmed that previously could not have been	Irrigation
Labor	Neolithic farmers and pastoralists learned to rely on Animals for food, clothes, and _________.
Neolithic farmers and pastoralists learned to rely on Animals for food, clothes, and _________.	Labor
cultural	Because more people stayed in one place instead of having to keep moving, it helped build a stronger sense of _________ tradition.
Because more people stayed in one place instead of having to keep moving, it helped build a stronger sense of _________ tradition.	cultural
Pastoral	______ societies were characterized by the domestication of animals but they usually did not settle down and farm or build towns.
______ societies were characterized by the domestication of animals but they usually did not settle down and farm or build towns.	Pastoral
Bronze	Some people call the later part of the Neolithic Age the ______ Age because of the advancements in metalurgy and tools.
Some people call the later part of the Neolithic Age the ______ Age because of the advancements in metalurgy and tools.	Bronze
Population	____ increased as a result of the Agricultural Revolution because more people could be fed reliably.
____ increased as a result of the Agricultural Revolution because more people could be fed reliably.	Population
Pastoralism	developed at various sites in the grasslands of Afro-Eurasia because these places supported large mobile herds and nomadic lifestyle but not farming or cities.
